Macro Name,Name,Description,Size,Type,Class,Purpose,Hull,Mass,Price Min,Price Avg,Price Max,Cargo,Missiles,Drones,Units,Crew,Race,Engine Slots,Shield Slots,Weapon Slots,Turret Slots,Unknown Slots,Total Slots,Forward Drag,Pitch Inertia,Yaw Inertia,Roll Inertia
ship_arg_l_miner_solid_01_b_macro,Magnetar (Mineral),"As the trend towards collecting natural resources with ships continued, the inefficiencies of the solution started to become clear. While a medium-sized ship had the advantage of moving quickly through mineral and gas regions, their cargo bays were simply not big enough for industrial-scale mining to be lucrative.\n\nNaturally, the Teladi stepped in to design L-sized resource collectors that could solve that problem, and the Magnetar is the Argon response to these ships; a standardised model that can be built in two variants, allowing it to support both asteroid mining and natural gas collection.",l,largeminer,ship_l,mine,32000,245.094,1348181,1586095,1824009,50400,30,0,10,38,argon,2,7,0,7,6,22,62.313,146.623,146.623,117.298
ship_arg_l_trans_container_02_b_macro,Mokosi Sentinel,"When Argon Federation ship designers received the blue-prints for the Veles, it was immediately recognisable as a highly modular ship, and so they began work straight away on different variations that could provide more variety and competition in a ship class that was both needed and popular throughout Argon space.\n\nOne of the first ships to come from this process was the Mokosi, designed in Black Hole Sun. Though it uses the same base chassis as the Veles, a different container configuration and tweaks to several internal systems to adapt have created a fine addition to the Argon merchant fleet.",l,freighter,ship_l,trade,64000,495.78,3251101,3824825,4398549,39600,30,0,10,94,argon,2,7,0,7,7,23,139.156,195.962,195.962,156.769
ship_arg_l_trans_container_02_a_macro,Mokosi Vanguard,"When Argon Federation ship designers received the blue-prints for the Veles, it was immediately recognisable as a highly modular ship, and so they began work straight away on different variations that could provide more variety and competition in a ship class that was both needed and popular throughout Argon space.\n\nOne of the first ships to come from this process was the Mokosi, designed in Black Hole Sun. Though it uses the same base chassis as the Veles, a different container configuration and tweaks to several internal systems to adapt have created a fine addition to the Argon merchant fleet.",l,freighter,ship_l,trade,53000,413.15,2705448,3182880,3660312,33000,30,0,10,113,argon,2,7,0,7,7,23,122.63,176.471,176.471,141.177
ship_arg_l_trans_container_04_b_macro,Shuyaku Sentinel,"Designed in parallel to the Incarcatura, as part of the push to rejuvenate the Argon economy, the Shuyaku-class freighter is a Sonra variant, extending the Terracorp-designed freighter's cargo bay at the cost of some manoeuvrability. The Shuyaku also marks the Hatikvah Free League's first contribution to the Argon merchant fleet, meant as an offering of good will to both the Federation and the Republic, to show that the Free League was also taking the rebuilding effort seriously.",l,freighter,ship_l,trade,101000,780.498,4614858,5429245,6243632,44400,30,0,10,187,argon,4,9,0,9,7,29,196.1,372.804,372.804,298.243
ship_arg_l_trans_container_04_a_macro,Shuyaku Vanguard,"Designed in parallel to the Incarcatura, as part of the push to rejuvenate the Argon economy, the Shuyaku-class freighter is a Sonra variant, extending the Terracorp-designed freighter's cargo bay at the cost of some manoeuvrability. The Shuyaku also marks the Hatikvah Free League's first contribution to the Argon merchant fleet, meant as an offering of good will to both the Federation and the Republic, to show that the Free League was also taking the rebuilding effort seriously.",l,freighter,ship_l,trade,84000,650.415,3842459,4520540,5198621,37000,30,0,10,225,argon,4,9,0,9,7,29,170.083,329.329,329.329,263.463
ship_arg_l_trans_container_05_b_macro,Sonra Sentinel,"Though the Sonra-class freighter was initially designed by Terracorp after the Terran Conflict, the status of development was lost with contact to Home of Light. Quite by chance, project designers were trapped in Black Hole Sun during the Jump Gate shutdown, and were able to get the blueprints of the finished ship to the Argon Federation and Antigone Republic when contact with Argon Prime and Antigone Memorial was re-established.",l,freighter,ship_l,trade,80000,590.0,3650555,4294770,4938986,34800,20,0,6,148,argon,4,9,0,9,7,29,140.0,251.12,251.12,200.896
ship_arg_l_trans_container_05_a_macro,Sonra Vanguard,"Though the Sonra-class freighter was initially designed by Terracorp after the Terran Conflict, the status of development was lost with contact to Home of Light. Quite by chance, project designers were trapped in Black Hole Sun during the Jump Gate shutdown, and were able to get the blueprints of the finished ship to the Argon Federation and Antigone Republic when contact with Argon Prime and Antigone Memorial was re-established.",l,freighter,ship_l,trade,67000,520.0,3049154,3587240,4125326,29000,20,0,6,178,argon,4,9,0,9,7,29,128.0,224.003,224.003,179.203
ship_pir_l_scrapper_01_macro,Teuta,"With the advent of the Dark, Avarice was forced to rely on a fleet of stranded ships that had been taken by surprise by the Jump Gate shutdown. Despite the almost immediate collapse of the Avarice company, capable scientists and engineers soon took it upon themselves to stabilise the system and work towards sustainability. They first established a functioning wharf for repairs and replacement, and conducted early experiments into developing a recycling economy in anticipation of dwindling resources within the system. The regeneration of this post-shutdown economy was quickly curtailed by the first Tides, which destroyed most stations and ships in the system in 800 (NT). However, a side-effect of the destructive solar event was the greatly increased energy output from solar panels, which allowed for a paradigm shift. The new Rakers economy emerging from Tidebreak, at the time the only station in Avarice, took advantage of this new abundance of energy. This, along with the use of local wrecks, enabled the rebuilding of a new, sustainable, closed-loop economy based on recycling, allowing them to further improve on previous ship and station module designs. Resettlement of Avarice began in 818 (NT), when the Northriver Company introduced Protectyon and the associated Protectyon Shield Generators to safeguard stations from the Tide. A few years later, in 825 (NT), the reconnection of Windfall gave the long-isolated Rakers the opportunity to trade with various Syndicate factions, but also exposed them to their piracy.(Avarice Ship Building)\n\n(Teuta)With the introduction of the large scale recycling economy required for the resettlement of Avarice, Tidebreak's engineers were soon looking for ways to break down and reclaim resources from wrecks that were too big for Tug ships to tow, and for Scrap Processors to process. In 822 (NT) they introduced the first Compactor ship, the Teuta. Similar to capital mining ships, it seeks out resources and breaks them down, but instead of transporting them, it ejects Scrap Cubes to be transported away by Tug ships., Tug same as Tug, Scrap Cube same as Scrap Cube)",l,compactor,ship_l,dismantling,66000,505.41,3013480,4322065,5630650,0,30,0,40,145,argon,1,25,3,12,6,47,211.623,280.0,280.0,230.0
ship_arg_l_trans_container_01_b_macro,Veles Sentinel,"Designed and produced by the Antigone Republic after the Jump Gates began to realign, the Veles-class freighter is more compact and self-sufficient than any freighter-class ship before it; the reason why it became part of the on-going technology exchange between the Republic and their Argon Federation allies.\n\nBuilt using a highly modular design, many ship designers have taken the base Veles model and reorganised it, as well as making their own changes to the internal systems, to sell an ever-growing number of variations on the ship. However, the Veles remains a popular choice among traders and station builders.",l,freighter,ship_l,trade,69000,529.12,3140563,3694780,4248997,43200,30,0,10,91,argon,7,18,0,16,8,49,135.0,195.78,195.78,156.624
ship_arg_l_trans_container_01_a_macro,Veles Vanguard,"Designed and produced by the Antigone Republic after the Jump Gates began to realign, the Veles-class freighter is more compact and self-sufficient than any freighter-class ship before it; the reason why it became part of the on-going technology exchange between the Republic and their Argon Federation allies.\n\nBuilt using a highly modular design, many ship designers have taken the base Veles model and reorganised it, as well as making their own changes to the internal systems, to sell an ever-growing number of variations on the ship. However, the Veles remains a popular choice among traders and station builders.",l,freighter,ship_l,trade,57000,440.933,2605841,3065695,3525549,36000,30,0,10,110,argon,4,18,1,14,6,43,120.0,175.799,175.799,140.64
ship_bor_l_carrier_01_a_macro,Guppy,"The Guppy light carrier was the first carrier Atreus Shipbuilding Currents developed. While development started during the end of the Atreus Era, it carried over into, and was completed during, the Menelaus Era. After six years of development, and a major budget increase, the first Guppy departed from the Ocean of Fantasy Shipyard in 790 (NT) to serve the Boron Royal Navy.)\n\n(Menelaus Era Ship Building)Menelaus Era ships were built between 785 (NT) and 798 (NT) as a second wave of more autonomous ships in preparation for the Jump Gate shutdowns. To reduce flight mass, the ships are mostly filled with air, requiring Boron crew to wear protective suits. The new Menelaus cabinet allowed corporations, working under a government contract, access to various classified technological advancements made by Royal Boron Military Defence research facilities. The ships designed with those technologies are less sturdy than the first wave of Atreus Era ships, but more manoeuvrable.)(Menelaus Era Ship Building)",l,carrier,ship_l,fight,117000,341.545,5405973,6513220,7620468,0,310,0,20,60,boron,4,9,0,4,7,24,141.833,300.0,300.0,180.0
ship_bor_l_destroyer_01_a_macro,Ray,"(Ray L Destroyer)))With the Ray destroyer, Eleius Astrosecurity developed their largest and last Menelaus Era ship. The first Ray departed in 798 (NT) from the Depths of Silence Shipyard. Soon after entering service the ship's iconic frame became associated with the Royal Boron Navy. The Ray was deployed on major battlefields against both Split and Xenon fleets, where it proved itself to be a reliable and effective destroyer.\n\n(Menelaus Era Ship Building)Menelaus Era ships were built between 785 (NT) and 798 (NT) as a second wave of more autonomous ships in preparation for the Jump Gate shutdowns. To reduce flight mass, the ships are mostly filled with air, requiring Boron crew to wear protective suits. The new Menelaus cabinet allowed corporations, working under a government contract, access to various classified technological advancements made by Royal Boron Military Defence research facilities. The ships designed with those technologies are less sturdy than the first wave of Atreus Era ships, but more manoeuvrable.)(Menelaus Era Ship Building)",l,destroyer,ship_l,fight,114000,308.555,5435998,6549396,7662793,0,207,0,10,54,boron,4,13,0,6,7,30,96.868,200.0,200.0,150.0
ship_bor_l_miner_liquid_01_a_macro,Rorqual (Gas),"Developed by Deepwater Drilling Industries, the Rorqual turned out to be an ambitious project. After several setbacks, the company managed to release their first capital ship when the first Rorqual departed from the Kingdom End Shipyard in 793 (NT). The ship turned out to be barely serviceable and would require multiple overhauls. While Deepwater Drilling Industries managed to rectify all flaws with the design, and salvaged their reputation by recalling and updating ships that had already been sold, the disastrous release brought the company to the brink of bankruptcy.)\n\n(Menelaus Era Ship Building)Menelaus Era ships were built between 785 (NT) and 798 (NT) as a second wave of more autonomous ships in preparation for the Jump Gate shutdowns. To reduce flight mass, the ships are mostly filled with air, requiring Boron crew to wear protective suits. The new Menelaus cabinet allowed corporations, working under a government contract, access to various classified technological advancements made by Royal Boron Military Defence research facilities. The ships designed with those technologies are less sturdy than the first wave of Atreus Era ships, but more manoeuvrable.)(Menelaus Era Ship Building)",l,largeminer,ship_l,mine,31000,294.322,1146506,1381332,1616159,0,30,0,10,52,boron,4,12,0,14,6,36,65.91,200.0,200.0,150.0
ship_bor_l_miner_solid_01_a_macro,Rorqual (Mineral),"Developed by Deepwater Drilling Industries, the Rorqual turned out to be an ambitious project. After several setbacks, the company managed to release their first capital ship when the first Rorqual departed from the Kingdom End Shipyard in 793 (NT). The ship turned out to be barely serviceable and would require multiple overhauls. While Deepwater Drilling Industries managed to rectify all flaws with the design, and salvaged their reputation by recalling and updating ships that had already been sold, the disastrous release brought the company to the brink of bankruptcy.)\n\n(Menelaus Era Ship Building)Menelaus Era ships were built between 785 (NT) and 798 (NT) as a second wave of more autonomous ships in preparation for the Jump Gate shutdowns. To reduce flight mass, the ships are mostly filled with air, requiring Boron crew to wear protective suits. The new Menelaus cabinet allowed corporations, working under a government contract, access to various classified technological advancements made by Royal Boron Military Defence research facilities. The ships designed with those technologies are less sturdy than the first wave of Atreus Era ships, but more manoeuvrable.)(Menelaus Era Ship Building)",l,largeminer,ship_l,mine,31000,294.322,1128579,1359733,1590888,0,30,0,10,52,boron,3,17,2,16,7,45,65.91,200.0,200.0,150.0
ship_bor_l_trans_container_01_a_macro,Sturgeon,"(Sturgeon L Transport))))Stellar Shores Shipping was founded in 785 (NT) by graduates of the Royal Academy of Space Engineering. The former students brought with them their engineering experience, from working with Atreus Shipbuilding Currents on the smaller Dolphin transporter, but underestimated the difficulties of founding and running a new company. Various setbacks and delays lead to the company publicly accusing competitors of sabotage, as a project failure would lead to a retraction and reassignment of the government contract. Ultimately the company pulled itself together, and with its departure from the Great Reef Shipyard, the Sturgeon saw its successful release in 794 (NT).\n\n(Menelaus Era Ship Building)Menelaus Era ships were built between 785 (NT) and 798 (NT) as a second wave of more autonomous ships in preparation for the Jump Gate shutdowns. To reduce flight mass, the ships are mostly filled with air, requiring Boron crew to wear protective suits. The new Menelaus cabinet allowed corporations, working under a government contract, access to various classified technological advancements made by Royal Boron Military Defence research facilities. The ships designed with those technologies are less sturdy than the first wave of Atreus Era ships, but more manoeuvrable.)(Menelaus Era Ship Building)",l,freighter,ship_l,trade,40000,320.723,3653390,4401675,5149960,0,30,0,10,63,boron,3,17,2,16,7,45,148.778,200.0,200.0,150.0
ship_par_l_miner_liquid_01_a_macro,Chthonios (Gas),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals.",l,largeminer,ship_l,mine,23000,180.944,981657,1154890,1328124,32000,30,0,10,40,paranid,3,19,2,16,7,47,49.999,150.0,150.0,88.456
ship_par_l_miner_liquid_01_b_macro,Chthonios (Gas),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals.",l,largeminer,ship_l,mine,28000,217.132,1186405,1395770,1605136,38400,30,0,10,33,paranid,1,8,6,8,7,30,54.749,150.0,150.0,97.178
ship_par_l_miner_solid_01_a_macro,Chthonios (Mineral),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals. The Vanguard variant adds even more speed.",l,largeminer,ship_l,mine,23000,180.944,981657,1154890,1328124,32000,30,0,10,40,paranid,3,5,0,6,8,22,49.999,150.0,150.0,88.456
ship_par_l_miner_solid_01_b_macro,Chthonios (Mineral),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals. The Sentinel variant enhances structural robustness in case miners encounter hostiles.",l,largeminer,ship_l,mine,28000,217.132,1186405,1395770,1605136,38400,30,0,10,33,paranid,3,5,0,6,8,22,54.749,150.0,150.0,97.178
ship_par_l_miner_liquid_02_a_macro,Chthonios E (Gas),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals.\n\nThe E-model variation was introduced at a later date, and updated the superficial design to bring it up to par with Commonwealth standards that were established during the period of disconnection. The precursor version is slowly being phased out, but will remain available for interested third parties.",l,largeminer,ship_l,mine,29000,153.679,1352877,1591620,1830363,0,30,0,10,41,paranid,3,6,0,6,8,23,46.42,150.0,150.0,79.382
ship_par_l_miner_solid_02_a_macro,Chthonios E (Mineral),"The Chthonios miner boasts impressive speed. The economics of running a large production empire require the optimisation of miners' speed versus cargo space. With sufficient speed, a constant stream of smaller deliveries of resources can keep mega-factories running more efficiently than if they are left waiting for larger shipments.\n\nThe Chthonios is tailored for just this style of ""just-in-time"" logistics management, and is available in models able to collect gases or minerals.\n\nThe E-model variation was introduced at a later date, and updated the superficial design to bring it up to par with Commonwealth standards that were established during the period of disconnection. The precursor version is slowly being phased out, but will remain available for interested third parties.",l,largeminer,ship_l,mine,29000,153.678,1352881,1591625,1830369,0,30,0,10,41,paranid,3,7,0,7,8,25,46.42,150.0,150.0,79.382
ship_par_l_trans_container_03_a_macro,Helios E,"The reasonably fast Helios freighter is a staple of Paranid logistics operations. While it cannot be said to be best-in-class on any single performance metric, it remains a sound choice overall.\n\nThe enduring popularity of this heavy freighter is believed to be founded on its sleek lines and attractive profile. Freighter captains are no rock stars, but the Helios does turn heads. It is not uncommon for youngsters to seek out berthing Helios vessels, begging for a ship tour.\n\nThe E-model variation was introduced at a later date, and updated the superficial design to bring it up to par with Commonwealth standards that were established during the period of disconnection. The precursor version is slowly being phased out, but will remain available for interested third parties.(The E-model ...)",l,freighter,ship_l,trade,55000,294.433,2949500,3470000,3990500,0,30,0,10,96,paranid,3,7,0,7,8,25,92.706,290.0,290.0,190.0
ship_par_l_trans_container_01_b_macro,Helios Sentinel,"The reasonably fast Helios freighter is a staple of Paranid logistics operations. While it cannot be said to be best-in-class on any single performance metric, it remains a sound choice overall.\n\nThe enduring popularity of this heavy freighter is believed to be founded on its sleek lines and attractive profile. Freighter captains are no rock stars, but the Helios does turn heads. It is not uncommon for youngsters to seek out berthing Helios vessels, begging for a ship tour.\n\nThe additional cargo space offered by the Helios Sentinel improves long term trading efficiency.",l,freighter,ship_l,trade,45000,345.45,2049189,2410810,2772432,25200,30,0,10,59,paranid,3,8,0,7,8,26,102.272,150.0,150.0,80.521
ship_par_l_trans_container_01_a_macro,Helios Vanguard,"The reasonably fast Helios freighter is a staple of Paranid logistics operations. While it cannot be said to be best-in-class on any single performance metric, it remains a sound choice overall.\n\nThe enduring popularity of this heavy freighter is believed to be founded on its sleek lines and attractive profile. Freighter captains are no rock stars, but the Helios does turn heads. It is not uncommon for youngsters to seek out berthing Helios vessels, begging for a ship tour.\n\nThe Vanguard model is the fastest ship in the Helios line.",l,freighter,ship_l,trade,37000,287.875,1696396,1995760,2295124,21000,30,0,10,71,paranid,3,9,0,7,6,25,91.477,150.0,150.0,73.708
ship_par_l_expeditionary_01_a_macro,Hyperion,"Once owned by the Pontifex Maximus Paranidia of the Godrealm's first incarnation, this proud ship's sacred name was ""Trinity"" - or ""Hyperion"" according to Argon naming conventions. Although just a research prototype, its owner and commanders liked to think of it as a galleon, a warship of the holy Armada. Its capabilities in close range combat and manoeuvrability exceeded that of most other ships of its type, and still do to this day. When the research programme was cancelled, the sole prototype remained in service until it disappeared around the time of the Fall of the Gates while on a diplomatic mission. Although its crew was rescued from a swarm of escape pods, the whereabouts of the ship itself and its last commander, Lord Chaplain Olmancketslat, could never be established.",l,expeditionary,ship_l,fight,56000,63.081,2905313,3418015,3930717,0,240,0,10,106,paranid,3,9,0,7,6,25,20.718,22.011,22.011,17.609
ship_par_l_destroyer_02_a_macro,Odysseus E,"The Paranid Odysseus is a highly regarded destroyer with an often consequential presence in large scale engagements.\n\nThe E-model variation was introduced at a later date, and updated the superficial design to bring it up to par with Commonwealth standards that were established during the period of disconnection. The precursor version is slowly being phased out, but will remain available for interested third parties.\n\nThe Odysseus E-model prioritises hardpoints, however, it suffers from reduced storage capacity as a consequence.",l,destroyer,ship_l,fight,128000,326.351,4412478,5191150,5969823,0,160,0,10,60,paranid,3,8,0,7,6,24,69.084,150.0,150.0,159.698
ship_par_l_destroyer_01_b_macro,Odysseus Sentinel,"The Paranid Odysseus is a highly regarded destroyer with an often consequential presence in large scale engagements.\n\nThe latest version's architect is the notoriously sensitive Olmanckabssit, who is reputed to fly into a rage at the slightest mention of the vessel's resemblance to a hair dryer.\n\nThe Sentinel model boasts greater resilience.",l,destroyer,ship_l,fight,119000,251.701,5135781,6042095,6948409,2040,160,0,10,39,paranid,3,8,0,7,6,24,84.694,150.0,150.0,91.055
ship_par_l_destroyer_01_a_macro,Odysseus Vanguard,"The Paranid Odysseus is a highly regarded destroyer with an often consequential presence in large scale engagements.\n\nThe latest version's architect is the notoriously sensitive Olmanckabssit, who is reputed to fly into a rage at the slightest mention of the vessel's resemblance to a hair dryer.\n\nThe Odysseus Vanguard has enhanced speed.",l,destroyer,ship_l,fight,99000,209.751,4276299,5030940,5785581,1700,160,0,10,47,paranid,3,9,0,7,6,25,76.828,150.0,150.0,84.544
