Ware ID,Macro Name,Name,Description,Type,Size,Mk Level,Price Min,Price Avg,Price Max,Tags
ship_gen_s_transdrone_container_01_a,ship_gen_s_transdrone_container_01_a_macro,Small Drop Drone,"The Drop Drone is an essential system in terraforming operations, transporting the required surface-bound wares.",drone,s,1,19805,23300,26795,"noplayerbuild,ship"
ship_gen_s_transdrone_container_02_a,ship_gen_s_transdrone_container_02_a_macro,Small Terraforming Drone,"The economic benefits of a successful planetary reformat can be immense.\n\nThe Small Terraforming Drone is a highly complex, state-of-the-art innovation, essential for enabling this work.",drone,s,1,19805,23300,26795,"noplayerbuild,ship"
ship_gen_xs_lasertower_01_a,ship_gen_xs_lasertower_01_a_macro,Laser Tower Mk1,"Deployed from a compartment of a ship, the laser tower is a static combat unit used primarily in the defence of an area of objective. They use a simple targeting system to turn towards the enemy before firing. Though laser towers can target and hit small ships, they are most effective at medium range against medium or larger targets.",laser_tower,xs,1,8033,9450,10868,"equipment,lasertower"
ship_gen_s_lasertower_01_a,ship_gen_s_lasertower_01_a_macro,Laser Tower Mk2,"Deployed from a compartment of a ship, the laser tower is a static combat unit used primarily in the defence of an area of objective. They use a simple targeting system to turn towards the enemy before firing. Though laser towers can target and hit small ships, they are most effective at medium range against medium or larger targets.",laser_tower,s,2,12555,14770,16986,"equipment,lasertower"
weapon_clustermine_01,weapon_clustermine_01_macro,Cluster Mine,"Cluster Mines are much like Friend/Foe Mines, but are used for area coverage. Instead of a single explosive device, deployment of a cluster package results in an array of such devices, each equipped with its own target detection and detonation mechanisms. The result is a deadly carpet of mines, which is hard to navigate through and even harder to disarm without the correct security codes.",mine,,1,5812,6838,7862,"equipment,mine"
weapon_gen_mine_03,weapon_gen_mine_03_macro,Friend/Foe Mine,"Friend/Foe Mines are equipped with specialist software that allows the user to program the mine not to respond to friendly targets. This is usually achieved over comm-frequency identification, and friendly targets must stay informed of changes to the frequency so as not to accidentally fall foul of the mine's dangerous payload - this, in and of itself, is almost always an automated process.",mine,,1,17478,20563,23647,"equipment,mine"
weapon_gen_mine_01,weapon_gen_mine_01_macro,Mine,"Mines are a commonly-used static combat tool that explode and cause massive hull damage under a number of circumstances. Some explode on contact, some when a target comes within a certain range. Some even track their targets and can be programmed to recognise friend from foe.",mine,,1,4843,5698,6552,"equipment,mine"
weapon_gen_mine_02,weapon_gen_mine_02_macro,Tracker Mine,"Tracker Mines are deadly devices that have two phases of operation. In the detection phase, the mine detects a valid target within outer detection range and initiates a limited manoeuvre to intercept the target. When it is deemed close enough to trigger, the second detection phase sees the mine's explosive payload detonate. Tracker Mines are less effective at chasing fast and agile targets, but can be incredibly dangerous when used in number or against larger and less agile targets.",mine,,1,9055,10653,12250,"equipment,mine"
mod_ship_missilecapacity_01_mk1,,Bandolier (Missile Capacity Mod - Basic Quality),No information available(No information available),missile,,1,42500,50000,57500,"crafting,equipmentmod"
missile_emp_mk1,missile_emp_mk1_macro,EMP Missile Mk1,"Known by some pilots as the Hamstring, the EMP is a highly specialised, vessel-disabling missile system frequently used by law enforcement ships for non-lethal interdiction missions. With a powerful matter/antimatter reaction engine, and a highly specialised warhead, this weapon can reach top speeds well in excess of that of common ship travel drives. When it reaches its target, it sheds the protective outer shell and exposes an elaborate antenna array, which it uses to accurately aim and discharge a powerful electromagnetic pulse. The effect of this pulse is a prompt shutdown of the target ship's travel drive, which makes the law enforcement vessel's task of catching up significantly easier. Using a combination of extremely accurate radar, and computer-based prediction algorithms carried out before launch, the weapon works by predicting an impact point from a straight line approach rather than attempting to chase down the target via curves and turns like most other weapons. It is worth noting that, with the extreme speeds provided by the Peregrine engine system, the Hamstring can be a difficult beast to control.",missile,,1,808,950,1093,"equipment,missile"
missile_flagship_heavy_mk1,missile_flagship_heavy_mk1_macro,Heavy Barrage Missile Mk1,"Designed to be used in large numbers, these missiles provide a good method of creating a blanket of fire across an area of the battlefield. They are primarily used in conflicts against larger, slower M and L class ships, which are unable to avoid the wall of explosions closing in upon them.",missile,,1,1570,1845,2120,"equipment,missile"
missile_cluster_heavy_mk1,missile_cluster_heavy_mk1_macro,Heavy Cluster Missile Mk1,"As the name implies, a cluster-based system foregoes the powerful single main charge for a means of releasing several smaller explosives simultaneously, potentially damaging multiple targets at once. While the damage caused to each individual target is naturally significantly less than could be achieved with a unitary charge, cluster-munitions, packing sufficiently powerful sub-munitions, can provide a pilot with the means to quickly disable a hostile target by taking out key components.\n\nLike the dumbfire-type munitions, the cluster-based weapon does not possess the means to compensate for changes in the target's trajectory. Target data from the ship's onboard computer systems is used to program a timer moments before the weapon's launch. Once the timer reaches its end, ideally moments before the missile impacts, a plethora of smart mini-bombs or ""bomblets"" are dispersed around the target area. These feature fairly advanced homing software to enable them to seek out the more vulnerable parts of the exposed systems of an enemy combatant.\n\nThe Heavy Cluster weapon represents a considerable step up in terms of destructive capability, while sacrificing thrust-to-weight ratio, compared to its smaller counterpart. An increase in the number and size of bomblets, along with a new and improved explosive compound, results in significantly increased effectiveness.",missile,,1,1530,1800,2070,"equipment,missile"
missile_dumbfire_heavy_mk1,missile_dumbfire_heavy_mk1_macro,Heavy Dumbfire Missile Mk1,"Although more powerful than the lighter dumbfire weapons, the Heavy Dumbfire missile is still an economical choice of weapon which allows pilots to punch significantly above their weight. A compromise on thruster performance allows for a significantly enhanced warhead.\n\nDeployed from either a Mk1 or Mk2 standard launcher, a gas-driven piston ejects the missile from the launch tube, after which the thruster engages once safe separation is confirmed. This combination provides enhanced safety, prevents accidental burn on a jammed weapon, and significantly reduces maintenance overheads.\n\nLike its cheaper and less powerful counterpart, the missile utilises a simple impact fuse and an additional fallback timer. However, the Heavy Dumbfire missile features two separate warhead components that sit in tandem directly behind the impact fuse. When triggered, the precursor warhead immediately detonates, sending a superheated dart capable of piercing the outer hull of most ships. Microseconds after the precursor is fired, the much larger main charge triggers a conventional high explosive, causing potentially catastrophic damage to smaller vessels and significant damage to larger ones. If the weapon fails to impact the intended target, it will continue in a straight line until the onboard timer expires, at which point it will safely self-destruct.",missile,,1,451,530,610,"equipment,missile"
missile_dumbfire_heavy_mk2,missile_dumbfire_heavy_mk2_macro,Heavy Dumbfire Missile Mk2,"Although more powerful than the lighter dumbfire weapons, the Heavy Dumbfire missile is still an economical choice of weapon which allows pilots to punch significantly above their weight. A compromise on thruster performance allows for a significantly enhanced warhead.\n\nDeployed from either a Mk1 or Mk2 standard launcher, a gas-driven piston ejects the missile from the launch tube, after which the thruster engages once safe separation is confirmed. This combination provides enhanced safety, prevents accidental burn on a jammed weapon, and significantly reduces maintenance overheads.\n\nLike its cheaper and less powerful counterpart, the missile utilises a simple impact fuse and an additional fallback timer. However, the Heavy Dumbfire missile features two separate warhead components that sit in tandem directly behind the impact fuse. When triggered, the precursor warhead immediately detonates, sending a superheated dart capable of piercing the outer hull of most ships. Microseconds after the precursor is fired, the much larger main charge triggers a conventional high explosive, causing potentially catastrophic damage to smaller vessels and significant damage to larger ones. If the weapon fails to impact the intended target, it will continue in a straight line until the onboard timer expires, at which point it will safely self-destruct.\n\nImprovements to the thruster chemical composition and the use of a more advanced type of fuel means that the Heavy Dumbfire Mk2 is a slightly more responsive weapon system compared to its predecessor.",missile,,2,1539,1810,2082,"equipment,missile"
missile_guided_heavy_mk1,missile_guided_heavy_mk1_macro,Heavy Guided Missile Mk1,"It was during initial testing that a curious side-effect of a new thruster nozzle would give the ""Banshee"" missile its now iconic nickname. While undergoing power and stability testing, the weapon was fixed in a rig while the rocket motor was fired. The research team found that, at certain settings, the weapon emitted a sound wave that bore an eerie resemblance to the screams of the Banshee, a Terran mythical creature. This issue was eventually tracked down to an improperly configured pressure valve, but by the time a fix had been issued, the name had stuck.\n\nCompared to the Light Guided missiles, the Banshee is significantly slower but carries an absolutely devastating punch. In small salvoes, this is a good weapon to install on a fighter intended to counter heavier corvettes, and potentially even frigates, where the inherent agility advantage of the fighter can help offset the somewhat sluggish nature of this weapon. An upgraded weapon-to-ship data link not only improves the chances of first time contact, but also allows the missile to come around for multiple passes in the event of failure to connect on the first attempt. However, the weapon can be very susceptible to even basic heat-based decoys.",missile,,1,1915,2253,2590,"equipment,missile"
missile_heatseeker_heavy_mk1,missile_heatseeker_heavy_mk1_macro,Heavy Heatseeker Missile Mk1,"After evaluating the performance of the Light Heatseeker missile, the design-team responsible for its creation noticed something peculiar. During testing, a significant number of encounters resulted in mission failures that could have been prevented by fitting the missile with just a slightly more powerful warhead. Unfortunately, when the team brought this matter up, politics got in the way and what was intended to be a simple upgrade turned into a weapon so different that it became its own development program entirely.\n\nThis new Heavy Heatseeker weapon, nicknamed the Icarus, is a heat-seeking missile with a powerful warhead capable of dealing significant, possibly even catastrophic, damage to most fighters, heavy fighters and corvettes. While multiple impacts may be required to take out a frigate, the weapon is more than capable of that as well. It is not too agile though and like its smaller cousin, it suffers from the same design compromises on its guidance package, meaning it can be fairly easily defeated by decoys.",missile,,1,2178,2563,2947,"equipment,missile"
missile_scatter_heavy_mk1,missile_scatter_heavy_mk1_macro,Heavy Scatter Missile Mk1,"The Heavy Scatter missile is a two-stage weapon. In order to fit within the fixed dimensions of standard launchers, a compromise had to be found in order to provide a rapid-fire solution using rockets as ammunition in place of ordinary gun systems. The weapon contains a primary stage which consists of an outer, detachable shell and internal wiring as well as the necessary attachment points for housing several individual rockets. Once the weapon has cleared the launcher and the main body is at a safe distance from the ship, the outer shell will detach from the internal rigging into four separate pieces. In a matter of microseconds the smaller individual rockets detach from the internal rigging and their boosters ignite, propelling them towards the target at speed. The weapon behaves much like a very complex shotgun, albeit a shotgun that fires rockets instead of pellets.\n\nUsing a combination of high explosive and incendiary warheads can inflict widespread damage to multiple separate points on an enemy combatant, and is a very effective way of overpowering their damage control capabilities. It is, however, extremely inaccurate and should be used only from point-blank range against L and XL targets.",missile,,1,1078,1268,1458,"equipment,missile"
missile_smart_heavy_mk1,missile_smart_heavy_mk1_macro,Heavy Smart Missile Mk1,"The Heavy Smart missile was an ATF project intended to complement the smaller and slightly more agile Light Smart system. Where the Light Smart missile would be used against the agile fighters and heavy fighters of the Xenon, the Heavy Smart missile was meant for heavy fighters and light to medium corvette-sized ships. Like its smaller counterpart, the Heavy Smart missile also required the same focus on friend-foe discrimination capability, but its warhead would be scaled up in order to more effectively handle the larger types of targets it was intended for use against. Unfortunately, the weapon system suffered the same fate as the Light Smart missile; the ATF stopped development in favour of more promising weapon systems and the technology remained dormant for many decades before research was continued by an intrepid Argon scientist, who obtained the schematics from an undercover agent.",missile,,1,2465,2900,3335,"equipment,missile"
missile_starburst_heavy_mk1,missile_starburst_heavy_mk1_macro,Heavy Starburst Missile Mk1,"The Starburst, whose name comes from its peculiar warhead, is a missile that embodies the Split mentality of hitting hard. So hard in fact, that by some measures, it carries arguably the most powerful warhead available for any missile weapon shy of a torpedo-class munition. The incredible destructive power of the weapon, along with its classification, has been the source of no small number of legal disputes between the Split, seeking to keep it as a missile for export purposes, and certain non-Split wishing to have it reclassified as a Torpedo for their own benefit.\n\nThe Starburst uses a special kind of fuel, in the form of a continuous rod that extends through almost the entire length of the weapon. This rod serves as both fuel for the engine, and as the source of its destructive potential. The rate of combustion is kept under control by spraying the fuel-rod with a dampener-agent, without which the burn-rate spirals out of control much in the same way as a star going supernova, albeit on a much smaller scale.",missile,,1,1700,2000,2300,"equipment,missile"
missile_swarm_heavy_mk1,missile_swarm_heavy_mk1_macro,Heavy Swarm Missile Mk1,"The bigger sister to the Light Swarm missile, the Heavy Swarm version is also a Paranid weapon system designed to overcome defensive anti-missile measures on a well equipped target. Like its smaller counterpart, the Heavy Swarm missile uses a two-stage solution to achieve this. A larger primary stage consists of an external shell that carries multiple, smaller missiles internally. The outer shell ensures compliance with standardised launchers, and the internally carried sub-missiles are released just a few seconds after launch. At that point, they disperse and follow an infra-red spectrum guidance laser from the launching ship to the intended target. The use of the laser makes the system somewhat cheaper, which helps offset the cost of several guidance sections, but also makes the weapon susceptible to infra-red decoys such as flares.\n\nThe sub-missiles are fitted with fairly powerful high-explosive warheads behind a teladianium disc. When triggered, the teladianium forms into a shape somewhat like a dart. This dart penetrates into the target where it fractures into large, devastating shards of almost molten metal, causing tremendous damage.",missile,,1,1934,2275,2616,"equipment,missile"
missile_torpedo_heavy_mk1,missile_torpedo_heavy_mk1_macro,Heavy Torpedo Missile Mk1,"The Heavy Torpedo missile is more commonly known as the Triton. Torpedoes are significantly slower than other missile weapons but they provide far and away more firepower on impact than any other type. They are best utilised, therefore, against less agile ships and emplacements that cannot easily avoid the impact simply by moving out of the way. Significantly more powerful than the Light Torpedo missile, this weapon is the premier choice against the heaviest and most durable of hostile vessels. No other weapon delivers as much destructive power as the Triton in a single explosive blast. The Triton missile is a hot-launched weapon. This means the rocket motor fires immediately upon button-press and begins its slow, ponderous journey towards the target. This in turn imparts significantly more stress and maintenance costs upon the launcher itself. Like its smaller counterpart, the Light Torpedo missile, the Triton is extremely resilient to countermeasures.",missile,,1,17563,20663,23762,"equipment,missile"
missile_flagship_light_mk1,missile_flagship_light_mk1_macro,Light Barrage Missile Mk1,"Designed to be used in large numbers, these missiles are used for anti-fighter screening of a fleet. Fast and nimble with re-targeting capabilities, they can be a severe threat to any group of small ships.",missile,,1,1400,1680,1950,"equipment,missile"
missile_cluster_light_mk1,missile_cluster_light_mk1_macro,Light Cluster Missile Mk1,"As the name implies, a cluster-based system foregoes the powerful single main charge for a means of releasing several smaller explosives simultaneously, potentially damaging multiple targets at once. While the damage caused to each individual target is naturally significantly less than could be achieved with a unitary charge, cluster-munitions, packing sufficiently powerful sub-munitions, can provide a pilot with the means to quickly disable a hostile target by taking out key components.\n\nLike the dumbfire-type munitions, the cluster-based weapon does not possess the means to compensate for changes in the target's trajectory. Target data from the ship's onboard computer systems is used to program a timer moments before the weapon's launch. Once the timer reaches its end, ideally moments before the missile impacts, a plethora of smart mini-bombs or ""bomblets"" are dispersed around the target area. These feature fairly advanced homing software to enable them to seek out the more vulnerable parts of the exposed systems of an enemy combatant.",missile,,1,680,800,920,"equipment,missile"
missile_disruptor_light_mk1,missile_disruptor_light_mk1_macro,Light Disruptor Missile Mk1,"The Disruptor missile might be one of the most insidious missile systems currently available. It is likely that the weapon was reverse engineered from the Hamstring EMP-system. While the Hamstring is a non-harmful weapon that causes no lasting damage to the target and leaves the crews unharmed, the Disruptor missile has no such limitations. Using a modified copy of the Hamstring's Peregrine engine, it accelerates to a brisk pace in pursuit of its target. When the missile gets close enough to its target, it brutally attacks, not just with an electromagnetic pulse discharge, but also by allowing its reactor to go critical and subsequently detonate. The electromagnetic pulse is blasted into the target vessel moments before a violent explosion wreaks havoc on its control and guidance systems. This level of interference is enough to trick a target vessel's security protocols into triggering emergency shutdowns of their own propulsion systems, leaving them effectively immobilised for roughly the duration of a short system scan and reboot. Like the Hamstring, the extreme speeds provided by the Peregrine engine system mean that the Disruptor missile can be a difficult to control.",missile,,1,1387,1632,1877,"equipment,missile"
missile_dumbfire_light_mk1,missile_dumbfire_light_mk1_macro,Light Dumbfire Missile Mk1,"Commonly referred to as the ""Wasp"" among the crews of Argon ships, this rocket system is fitted with a target-data processor instead of the technologically advanced guidance systems found on more expensive weapons. As a non-guided weapon, it does not possess the means to compensate for changes in the target's trajectory. While use against agile targets is therefore not advised, when used against slower targets the Wasp allows pilots to punch significantly above their weight without having to invest in more expensive missile-based weapons.\n\nDeployed from either a Mk1 or Mk2 standard launcher, a gas-driven piston ejects the missile from the launch tube, after which the thruster engages once safe separation is confirmed. This combination provides enhanced safety, prevents accidental burn on a jammed weapon, and significantly reduces maintenance overheads. The Light Dumbfire missile features a simple impact fuse, which triggers the warhead upon confirmed impact with any object, and an additional fallback timer. The timer is a solution to the problem that any projectile fired into space will eventually make contact and cause significant damage to whatever it impacts with. Upon reaching the specified time after launch, if the target has not already been hit, the weapon will self-detonate, leaving behind harmless microparticles as its only debris.",missile,,1,213,250,288,"equipment,missile"
missile_dumbfire_light_mk2,missile_dumbfire_light_mk2_macro,Light Dumbfire Missile Mk2,"Commonly referred to as the ""Wasp"" among the crews of Argon ships, this rocket system is fitted with a target-data processor instead of the technologically advanced guidance systems found on more expensive weapons. As a non-guided weapon, it does not possess the means to compensate for changes in the target's trajectory. While use against agile targets is therefore not advised, when used against slower targets the Wasp allows pilots to punch significantly above their weight without having to invest in more expensive missile-based weapons.\n\nDeployed from either a Mk1 or Mk2 standard launcher, a gas-driven piston ejects the missile from the launch tube, after which the thruster engages once safe separation is confirmed. This combination provides enhanced safety, prevents accidental burn on a jammed weapon, and significantly reduces maintenance overheads. The Light Dumbfire missile features a simple impact fuse, which triggers the warhead upon confirmed impact with any object, and an additional fallback timer. The timer is a solution to the problem that any projectile fired into space will eventually make contact and cause significant damage to whatever it impacts with. Upon reaching the specified time after launch, if the target has not already been hit, the weapon will self-detonate, leaving behind harmless microparticles as its only debris.\n\nThe Light Dumbfire Mk2 is the next step up from the Mk1. The increase in performance over the cheaper version can make the difference between victory and emergency ejection.",missile,,2,553,650,748,"equipment,missile"
missile_guided_light_mk1,missile_guided_light_mk1_macro,Light Guided Missile Mk1,"The Light Guided missile provides the first step into the world of guided missiles for most rookie pilots. It is a relatively inexpensive system compared to its more capable counterparts. Cheap, fairly easy to produce, and with very little in the way of training required for its use, this is a great way to give a new pilot a significant advantage in combat.\n\nThe guidance system is a simplistic one-way data link that enables the launch platform to continuously feed the missile updated information on its position relative to that of its intended target. Unfortunately, it is exceptionally easy to jam and, combined with the use of a very rudimentary thermal imaging sensor, it is very poorly suited to engaging agile targets with capable missile countermeasures on board. In keeping with the other cost-saving measures of the weapon, the Light Guided Mk1 has only a very basic ability to penetrate the armoured hulls of warships. However, if a breach does occur, the fact that the charge was originally designed for mining in deep space means it retains a high degree of efficiency.",missile,,1,729,858,986,"equipment,missile"
missile_heatseeker_light_mk1,missile_heatseeker_light_mk1_macro,Light Heatseeker Missile Mk1,"The Light Heatseeker missile, known by many pilots as the Stormbolt, is the Paranid answer to the need for a missile system with minimal prelaunch lock-on time. Given the often tightly choreographed Paranid approach to combat manoeuvres, and the frantic nature of dogfights in general, where split-second decisions and actions can have severe consequences, this targeting logic was deemed in accordance with the Holy Three-Dimensionality. Funding for its development was allocated, and what they got in return was a weapon that has virtually no lock-on time requirement whatsoever. That advantage, however, comes at a significant cost to threat-identification and countermeasure burn-through capability. In practice, this means that the weapon is easily foiled by decoys and best used either in massed volleys, often from multiple ships, or in drawn-out engagements in which the enemy's supply of countermeasures is depleted. Naturally, this sort of approach does not sit too well with a military that prides itself on efficiency.\n\nExactly how the blueprints for the Stormbolt found their way to the open markets is unknown, but while the weapon failed to gain traction with the Paranid, other races with a less frugal view on munitions expenditure have since made good use of it.",missile,,1,839,988,1136,"equipment,missile"
missile_interceptor_light_mk1,missile_interceptor_light_mk1_macro,Light Interceptor Missile Mk1,"Warden, Guardian, Sentinel. This weapon system has a lot of fitting names, almost all of them indicative of some sort of protective nature, and is one of those rare cases of a truly defence-oriented weapon with an underlying idealistic background. The blueprints were distributed anonymously, and roughly at the same time, to a great many factions, in the face of an influx of Split raiding ships. While the origins of the system remain shrouded in mystery, it presents a very real and often-lauded tool today, that often sees use in defensive turrets on trade and cargo ships, as well as on defensive installations in various sectors. While the system is primarily intended to be used as a defensive, counter-missile tool, it is also quite capable of warding off potential aggressors. With a salvo-based firing solution, a ship under attack can quite quickly put out a very large quantity of defensive fire which is often enough to dissuade or destroy an opportunistic assailant.",missile,,1,1267,1490,1714,"equipment,missile"
missile_smart_light_mk1,missile_smart_light_mk1_macro,Light Smart Missile Mk1,"The Light Smart missile was an ATF project looking into advanced seeker technologies, intended to enable the use of missiles against swarms of Xenon craft, even in protracted battles with friendlies in close proximity. This necessitated highly advanced friend-foe identification capabilities, as well as a tightly restrained explosive effector, in order to avoid accidentally inflicting damage on friendly ships near the intended target. ATF stopped development in favour of more promising weapon systems and the technology remained dormant for many decades before research was continued by an intrepid Argon scientist, who obtained the schematics from an undercover agent.\n\nThe Light Smart missile relies on a special chemical mixture for its burn that gives a markedly reduced thermal signature. This, combined with the smokeless launch of the magnetic induction system, means that its launch can be very difficult to detect by the intended target, especially if the pilot is clever enough to conceal the launch with an appropriate manoeuvre. The Light Smart missile has a very small warhead; however, once released, its long, narrow dart is capable of penetrating through the forms of most Xenon ships dealing massive damage to their internals.",missile,,1,1211,1425,1639,"equipment,missile"
missile_swarm_light_mk1,missile_swarm_light_mk1_macro,Light Swarm Missile Mk1,"The Light Swarm missile is the Paranid solution to the need for a missile system with an enhanced defence bypass capability from a single launcher system. A single container missile is launched from a standardised universal launcher tube. The container is really only there to ensure compatibility with standardised tube dimensions, and is discarded immediately after clearing the launch-tube. As the four-part outer shell peels away, the Light Swarm missile reveals its many, viciously fanged heads in the form of several smaller, independently operating missiles that streak towards the target.\n\nAn unfortunate compromise born of the smaller form factor of these sub-missiles, is naturally that their warheads and guidance sections are not nearly as capable as those of a full-sized weapon. However, where a full-sized weapon would present a significantly easier interception task for the defensive gun and missile systems on a target vessel, the multiple smaller weapons complicate this, both by increasing the saturation level through sheer numbers but also by being smaller and effectively a harder target to hit. This requires guns to stay longer on target, and defensive missile banks to expend many more shorts to avert an impact.",missile,,1,967,1138,1308,"equipment,missile"
missile_torpedo_light_mk1,missile_torpedo_light_mk1_macro,Light Torpedo Missile Mk1,"Torpedoes are significantly slower than other missile weapons but they provide far and away more firepower on impact than any other type. They are best utilised, therefore, against less agile ships and emplacements that cannot easily avoid the impact simply by moving out of the way. The Light Torpedo missile is a hot-launched weapon. This means the rocket motor fires immediately upon button-press and begins its slow, ponderous journey towards the target. This in turn imparts significantly more stress and maintenance costs upon the launcher itself. With an enlarged launcher comes a larger body which allows significantly more room for explosive mass in the weapon. This torpedo is a two-stage weapon with a powerful high explosive precursor warhead that violently rips a hole in the enemy vessel. A primary charge then detonates and turns the weapon into a massive and extremely damaging fragmentation grenade, more than powerful enough to rip apart most ships in a single blow. The Light Torpedo missile is extremely resilient to countermeasures.",missile,,1,3921,4613,5304,"equipment,missile"
module_gen_prod_missilecomponents_01,prod_gen_missilecomponents_macro,Missile Component Production,No information available(No information available),missile,,1,191643,225462,259281,module
missilecomponents,,Missile Components,"Missile components are used in the construction of all missiles, often with a different number and configuration making up the construction of each missile. As with ship equipment, missiles are built on demand, and so missile components are bought at and found at shipyards and equipment docks, where most pilots can order missiles on demand.",missile,,1,6,9,13,"container,economy"
satellite_mk2,eq_arg_satellite_02_macro,Advanced Satellite,"A static object used for observation, once deployed a satellite will pick up any communications sent and received by both ships and stations on open frequencies within a certain range. They are not one-use objects; a satellite can be deployed in one location, then deactivated and picked back up in a ship, then redeployed in a new location.",satellite,,1,44380,52215,60045,"equipment,satellite"
resourceprobe_01,eq_arg_resourceprobe_01_macro,Resource Probe,"Often fired from scout and mining ships deep within a mineral or gas region, resource probes are able to scan both asteroids and gas clouds in order to analyse what elements make up the region, in order to give miners a better idea of what they can find there. Not only can a resource probe discover the different elements making up the field, but also give a rough estimate on its yield.",satellite,,1,5249,6175,7101,"equipment,resourceprobe"
satellite_mk1,eq_arg_satellite_01_macro,Satellite,"A static object used for observation, once deployed a satellite will pick up any communications sent and received by both ships and stations on open frequencies within a certain range. They are not one-use objects; a satellite can be deployed in one location, then deactivated and picked back up in a ship, then redeployed in a new location.",satellite,,1,4152,4885,5618,"equipment,satellite"
