Macro Name,Name,Size,Mk Level,Description,Price Min,Price Avg,Price Max,Tags,Forward Thrust,Reverse Thrust,Boost Thrust,Boost Duration,Boost Recharge,Travel Thrust,Travel Charge Time,Travel Attack Time,Travel Release Time
engine_ter_l_allround_01_mk1_macro,All-round Engine,l,1,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",771689,857432,943176,,3520.0,3872.0,4.8,40.0,100.0,28.0,5.0,44.0,1.5
engine_xen_l_allround_01_mk1_macro,All-round Engine,l,1,"Analysis of Xenon propulsion systems reveals a lack of clear specialisation, suggesting their engines may be iterative improvements of prior designs, likely driven by evolutionary algorithms. These engines demonstrate consistent performance across a variety of mission profiles, with particularly notable capabilities during sustained high-velocity travel.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.",321322,357024,392726,,4206.0,4627.0,2.5,30.0,150.0,25.0,18.0,49.0,15.0
engine_xen_l_allround_02_mk1_macro,All-round Engine,l,1,"Analysis of Xenon propulsion systems reveals a lack of clear specialisation, suggesting their engines may be iterative improvements of prior designs, likely driven by evolutionary algorithms. These engines demonstrate consistent performance across a variety of mission profiles, with particularly notable capabilities during sustained high-velocity travel.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.",321322,357024,392726,,4206.0,4627.0,2.5,30.0,150.0,25.0,18.0,49.0,15.0
engine_kha_l_destroyer_01_allround_01_mk1_macro,Engine,l,1,No information available(No information available),0,0,0,,5058.0,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engine_ter_l_allround_02_mk1_macro,Frontier Engine,l,1,No information available(No information available),754907,838785,922664,,3696.0,4250.4,4.8,32.0,90.0,32.0,8.0,66.0,22.5
engine_arg_l_travel_01_mk1_macro,Travel Engine,l,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",337593,375104,412614,,3159.0,3001.05,5.74,24.3,92.0,42.4,18.0,82.0,37.5
engine_par_l_travel_01_mk1_macro,Travel Engine,l,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",340969,378855,416740,,3500.0,3151.0,3.63,27.89,136.0,45.2,14.0,67.0,37.5
engine_spl_l_travel_01_mk1_macro,Travel Engine,l,1,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",266600,380897,496641,,4212.0,4212.0,3.92,28.56,128.0,23.29,17.0,69.2,37.5
engine_tel_l_travel_01_mk1_macro,Travel Engine,l,1,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",337296,374774,412251,,3384.0,3722.0,2.66,35.0,120.0,37.5,10.0,49.0,30.0
engine_ter_l_travel_01_mk1_macro,Travel Engine,l,1,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",810315,900350,990385,,2851.2,3136.0,3.9,33.0,100.0,38.0,3.5,39.6,2.5
engine_arg_m_allround_01_mk1_macro,All-round Engine,m,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",11767,13074,14382,,960.0,960.0,7.38,12.5,92.0,10.51,8.0,41.8,20.0
engine_bor_m_allround_01_mk1_macro,All-round Engine,m,1,"Before the Fall of the Gates, a highly efficient engine type emerged from the Queendom's propulsion foundry, variants of which remain in use today. Its emphasis is on engaging Travel Mode instantly, as well as long boost durations. Combined, these offset the mediocre general thrust. Boron engines are incompatible with non-Boron vessels.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",11650,13090,14530,,750.0,825.0,8.0,28.6,200.0,13.3,0.0,55.0,1.0
engine_par_m_allround_01_mk1_macro,All-round Engine,m,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",11767,13074,14382,,1045.0,1045.0,4.86,15.0,136.0,10.5,6.0,36.8,20.0
engine_spl_m_allround_01_mk1_macro,All-round Engine,m,1,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",8721,12654,16644,,1300.0,1300.0,5.04,17.5,128.0,5.772,7.0,33.6,20.0
engine_tel_m_allround_01_mk1_macro,All-round Engine,m,1,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",11757,13064,14370,,940.0,1034.0,4.5,26.4,120.0,8.65,6.0,25.0,16.0
engine_ter_m_allround_01_mk1_macro,All-round Engine,m,1,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",28267,31408,34549,,850.0,977.5,5.4,21.6,100.0,9.1,2.0,18.7,2.0
engine_arg_m_combat_01_mk1_macro,Combat Engine,m,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",14357,15952,17547,,1084.8,1084.8,7.9,15.0,82.8,8.04,8.0,44.3,10.0
engine_kha_m_combat_01_mk1_macro,Combat Engine,m,1,"Although the underlying technology of Kha'ak engines remains mysterious to researchers, observed performance suggests a singular focus on combat effectiveness. Their propulsion systems seem to prioritise local manoeuvrability over long-distance travel capabilities, though the exact mechanisms driving these alien engines continue to elude understanding.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.",0,0,0,,1400.0,1600.0,4.0,6.0,50.0,7.0,3.0,15.0,10.0
engine_par_m_combat_01_mk1_macro,Combat Engine,m,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",14357,15952,17547,,1201.75,1201.75,5.71,18.0,122.4,7.67,6.0,39.7,10.0
engine_spl_m_combat_01_mk1_macro,Combat Engine,m,1,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade. However, the Mk IV is an experimental design developed by the Split. The Mk IV has foregone all safety protocols, resulting in an unreasonably overpowered unit in terms of speed. Pilots report that operating these units requires not only an immense level of skill, but also nerves of steel.",10078,14695,19374,,1482.0,1482.0,5.35,21.86,128.0,4.56,5.0,38.6,10.0
engine_tel_m_combat_01_mk1_macro,Combat Engine,m,1,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",14345,15939,17533,,1099.8,1209.78,5.19,31.68,114.0,6.28,6.0,25.0,8.0
engine_ter_m_combat_01_mk1_macro,Combat Engine,m,1,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",34485,38317,42148,,977.5,1124.13,6.2,27.0,90.0,6.73,2.0,18.7,1.0
engine_xen_m_combat_01_mk1_macro,Combat Engine,m,1,"Analysis of Xenon propulsion systems reveals a lack of clear specialisation, suggesting their engines may be iterative improvements of prior designs, likely driven by evolutionary algorithms. These engines demonstrate consistent performance across a variety of mission profiles, with particularly notable capabilities during sustained high-velocity travel.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.",15811,17568,19325,,1286.0,1486.0,6.0,18.0,150.0,8.0,3.0,15.0,10.0
engine_kha_m_combat_02_mk1_macro,Combat Engine Array,m,1,"Although the underlying technology of Kha'ak engines remains mysterious to researchers, observed performance suggests a singular focus on combat effectiveness. Their propulsion systems seem to prioritise local manoeuvrability over long-distance travel capabilities, though the exact mechanisms driving these alien engines continue to elude understanding.\n\nThe Kha'ak Engine Array appears to be an upgraded model, with improved specifications.",0,0,0,,1400.0,1662.0,5.0,6.0,50.0,7.0,3.0,15.0,10.0
engine_gen_m_yacht_01_mk1_macro,Engine,m,1,"[...]and then, finally, it goes something like ""zoom"", ""whoosh"", and you're half a sector away... actually, my chief of R&D can probably explain it best. Tim? Hey, Tim, the buffet is for the guests! Get *inaudible*[...]\n\n(excerpt from Brantlee Northriver's speech at the Wonders of Innovation and New Developments in Finance, Art, Luxury and Life Convention, 824 NT)(translators: ""Wonders of Innovation..."" is a nonsense term, perhaps make up something that spells WINDFALL in the target language, or whatever Windfall(Casino sector, in reference to 'Windfall' as easily-gained good fortune, for translation use a fitting name rather than a literal translation ) got translated as; Brantlee Northriver same as Brantlee Northriver)",601290,707400,813510,,2415.0,3250.0,7.0,14.0,150.0,12.0,4.0,33.0,15.0
engine_arg_m_travel_01_mk1_macro,Travel Engine,m,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",13062,14513,15964,,864.0,864.0,6.15,11.25,92.0,14.39,7.0,37.6,30.0
engine_par_m_travel_01_mk1_macro,Travel Engine,m,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",13062,14513,15964,,919.6,919.6,4.2,12.45,136.0,15.51,4.0,34.2,30.0
engine_spl_m_travel_01_mk1_macro,Travel Engine,m,1,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",9348,13657,18023,,1170.0,1170.0,3.92,14.86,128.0,8.02,7.0,31.9,30.0
engine_tel_m_travel_01_mk1_macro,Travel Engine,m,1,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",13051,14501,15952,,902.4,992.64,3.19,23.76,120.0,11.53,6.0,20.5,24.0
engine_ter_m_travel_01_mk1_macro,Travel Engine,m,1,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",31430,34922,38414,,765.0,879.75,4.62,16.6,100.0,12.64,0.0,16.8,3.0
engine_xen_m_travel_01_mk1_macro,Travel Engine,m,1,"Analysis of Xenon propulsion systems reveals a lack of clear specialisation, suggesting their engines may be iterative improvements of prior designs, likely driven by evolutionary algorithms. These engines demonstrate consistent performance across a variety of mission profiles, with particularly notable capabilities during sustained high-velocity travel.\n\nTravel-class engines generally sacrifice boost and regular flight performance in favour of shorter charge times, higher travel velocities, and better acceleration when in Travel Mode.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.",14256,15840,17424,,1224.0,1102.0,6.0,12.0,150.0,12.0,3.0,20.0,30.0
engine_arg_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",58166,64629,71092,,1152.0,1152.0,7.38,12.5,92.0,10.51,8.0,41.8,20.0
engine_bor_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"Before the Fall of the Gates, a highly efficient engine type emerged from the Queendom's propulsion foundry, variants of which remain in use today. Its emphasis is on engaging Travel Mode instantly, as well as long boost durations. Combined, these offset the mediocre general thrust. Boron engines are incompatible with non-Boron vessels.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",55219,62044,68869,,930.0,1023.0,8.0,28.6,200.0,13.3,0.0,55.0,1.0
engine_par_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",58166,64629,71092,,1251.0,1251.0,4.86,15.0,136.0,10.5,6.0,36.8,20.0
engine_spl_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",43115,61948,81054,,1560.0,1560.0,5.04,17.5,128.0,5.772,7.0,33.6,20.0
engine_tel_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",58118,64575,71033,,1128.0,1240.8,4.5,26.4,120.0,8.65,6.0,25.0,16.0
engine_ter_m_allround_01_mk2_macro,All-round Engine Mk2,m,2,"While leading the field in weapons and other technologies, Terran engine designs follow a time-proven engineering strategy. Long after the destruction of the Torus Aeternal, Terran engines remain geared for short-range combat, optimising for superior acceleration and manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",139704,155227,170749,,1020.0,1173.0,5.4,21.6,100.0,9.1,2.0,18.7,2.0
engine_arg_m_combat_01_mk2_macro,Combat Engine Mk2,m,2,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",69711,77457,85202,,1301.76,1301.76,7.9,15.0,82.8,8.04,8.0,44.3,10.0
engine_par_m_combat_01_mk2_macro,Combat Engine Mk2,m,2,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade.",69711,77457,85202,,1442.1,1442.1,5.71,18.0,122.4,7.67,6.0,39.7,10.0
engine_spl_m_combat_01_mk2_macro,Combat Engine Mk2,m,2,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nThe Combat-class engine is optimised for high-burst delivery, and provides the acceleration and agility needed for battle situations.\n\nMedium, M-size engines may only be fitted to vessels of the corresponding size category.\n\nThis drive is usually available in three editions, Marks I, II and III, indicating the level of performance upgrade. However, the Mk IV is an experimental design developed by the Split. The Mk IV has foregone all safety protocols, resulting in an unreasonably overpowered unit in terms of speed. Pilots report that operating these units requires not only an immense level of skill, but also nerves of steel.",51756,74180,96917,,1778.4,1778.4,5.35,21.86,128.0,4.56,5.0,38.6,10.0
